key,population,population_male,population_female,population_age_00_09,population_age_10_19,population_age_20_29,population_age_30_39,population_age_40_49,population_age_50_59,population_age_60_69,population_age_70_79,population_age_80_89,population_age_90_99,population_age_80_and_older,% of pop above 60
US,328239523,162417882,165821641,24285241,25086298,27127192,26476052,23890079,24792127,22683346,14148276,6011339,1502834,7514174,0.135101936
US_AK,738432,424916,391925,115198,111045,128022,113254,102310,116061,82608,35021,10657,2664,13322,0.177335218
US_AL,4858979,2512466,2681479,621981,660970,701742,680141,613936,666838,645125,414601,150889,37722,188612,0.256913438
US_AR,2978204,1585221,1654473,411655,409232,438604,423461,368838,394967,403526,264192,100174,25043,125218,0.266246033
US_AS,55689,,,,,,,,,,,,,,
US_AZ,6828065,4026510,4085461,1080975,1054611,1112760,1095491,905754,930631,988546,646511,237353,59338,296692,0.282912948
US_CA,39144818,20468055,20856543,5297960,5594857,6134141,5908592,5079947,4954811,4286163,2632208,1148734,287183,1435918,0.213420024
US_CO,5456574,2978798,2984005,782811,743944,854059,875080,741220,776641,653732,357233,142465,35616,178082,0.217910726
US_CT,3590886,1818390,1933634,416756,474984,464289,464250,499839,515148,456067,277479,146568,36642,183211,0.255300781
US_DC,705749,297434,335235,58373,62674,138612,106072,69265,70525,65989,38782,17901,4475,22377,0.180158952
US_DE,945934,499890,535860,120699,127709,137209,128535,126191,132876,135670,86094,32612,8153,40766,0.277534162
US_FL,20271272,10895349,11483510,2371551,2552497,2815527,2770363,2671958,2785900,3052085,2211881,917676,229419,1147096,0.31626338
US_GA,10214860,5704118,6019096,1589223,1582966,1624897,1721488,1511074,1410843,1266276,707359,247270,61817,309088,0.223470708
US_GU,161785,80776,78881,25383,25702,25582,20667,18869,19099,13596,7394,2692,673,3365,0.150539296
US_HI,1431603,764289,767404,179021,172637,215044,201768,178560,202191,195458,115228,57429,14357,71787,0.267163452
US_IA,3046355,1578224,1623355,397429,402753,437058,396609,364027,416686,373001,255350,126932,31733,158665,0.258346778
US_ID,1654930,961984,963354,281927,264099,266390,255515,210220,230619,218863,131614,52873,13218,66092,0.251713366
US_IL,12859995,6571414,6875083,1683851,1756136,1866573,1874053,1647898,1703221,1475643,918947,416140,104035,520175,0.226653665
US_IN,6619680,3417226,3558501,891408,921931,936258,923133,835962,896082,802409,498505,216032,54008,270040,0.237315701
US_KS,2911641,1507814,1543893,410464,397191,434293,393807,347409,386769,334702,216322,104600,26150,130751,0.234154554
US_KY,4425092,2305740,2399482,574712,580379,624308,634768,573246,614156,577473,356669,135608,33902,169511,0.249407696
US_LA,4533372,2298746,2414412,608165,610408,692774,616907,550141,604586,538574,333370,126587,31646,158234,0.227242988
US_MA,6794422,3253902,3503619,727185,824328,947420,876627,873968,897069,803555,493949,250736,62684,313420,0.237095076
US_MD,6006401,3048317,3276183,753671,796216,859584,846380,835344,842551,735894,423674,184949,46237,231187,0.231545313
US_ME,1328361,676661,710758,139222,159477,157999,162366,177215,207234,196573,121204,52903,13225,66129,0.289006528
US_MI,9922576,4830759,5052206,1153045,1300485,1260194,1224079,1212834,1355475,1212622,743996,336187,84046,420234,0.239539712
US_MN,5489594,2857869,2917202,733192,727957,792297,763154,718287,763888,641260,399136,188718,47179,235898,0.23249315
US_MO,6083672,3159405,3311378,790305,815634,880980,826424,765190,838581,781730,506642,212239,53059,265299,0.255383591
US_MP,55144,22286,19704,6179,8143,5702,3331,5887,7098,4189,1195,212,53,266,0.102440882
US_MS,2992333,1525920,1627395,414938,423569,435494,415980,363520,391077,366193,234624,86336,21584,107920,0.236850979
US_MT,1032949,549030,545833,126699,128989,146517,131090,120946,159002,146788,87963,37495,9373,46869,0.272635919
US_NC,10042802,5556412,5897122,1437087,1430405,1553003,1603185,1419884,1418606,1370673,826625,315253,78813,394067,0.258031972
US_ND,756927,358946,354186,84494,84899,117455,86782,76663,94390,78864,54276,28248,7062,35310,0.222544578
US_NE,1896190,972230,994287,265048,249745,283191,255428,221776,248112,214373,142915,68743,17185,85929,0.23374029
US_NH,1330608,689405,712302,147075,174790,167724,168624,192830,208108,182247,103314,45595,11398,56994,0.257441711
US_NJ,8958013,4453585,4740817,1083226,1142584,1145509,1236030,1219969,1213196,1072031,677334,323618,80904,404523,0.240442495
US_NM,2085109,1159699,1195606,308727,306554,322950,297577,265453,303417,289822,177872,66346,16586,82933,0.264075403
US_NV,2890845,1852839,1827437,473403,458570,511691,540832,452032,440503,444638,258533,80060,20015,100075,0.27785855
US_NY,19795791,9534666,10268879,2218487,2421069,2845428,2671618,2474249,2537391,2308932,1469824,685238,171309,856548,0.234155988
US_OH,11613423,5744422,6066472,1413162,1506685,1510864,1495769,1426939,1597051,1430585,918459,409104,102276,511381,0.246303265
US_OK,3911338,2022255,2079155,534360,520301,585830,535451,458844,510079,487376,317317,121480,30370,151850,0.244556466
US_OR,4028977,2124048,2181304,498276,512003,580168,592115,493012,576054,554183,318598,144754,36188,180943,0.261536117
US_PA,12802503,6403661,6794266,1439094,1616511,1705746,1594658,1610123,1802742,1647615,1100333,544884,136221,681105,0.26784239
US_PR,3193694,1750923,1912653,393572,481121,533336,516414,494489,453562,376235,261086,123008,30752,153761,0.247700938
US_RI,1056298,,,,,,,,,,,,,,0
US_SC,4896146,2613483,2777111,650352,667132,738783,702440,636771,683035,707685,419540,147884,36971,184856,0.267982205
US_SD,858469,447871,450867,120814,112972,126540,111610,99512,116125,100550,68334,33824,8456,42281,0.245977432
US_TN,6600299,3468728,3672397,865908,886991,948127,964722,868923,916846,893144,544886,201261,50315,251577,0.255989312
US_TX,27469114,15255472,15630971,4495213,4313685,4534650,4545439,3715802,3577559,3058534,1803151,673927,168481,842409,0.207654786
US_UT,2763885,1730966,1723194,611965,525511,578627,514840,333571,333179,288455,179626,70708,17677,88386,0.201334715
US_VA,8382993,4515968,4715559,1127874,1142685,1297534,1288398,1199821,1188888,1066448,616379,242800,60700,303500,0.236947234
US_VI,104901,50047,54975,13356,13979,12715,9801,11864,14601,14096,10799,3048,762,3810,0.273638955
US_VT,626042,315725,327033,63835,78808,81380,74725,80915,96928,88319,49872,22381,5595,27977,0.265424684
US_WA,7170351,3822449,3872795,936415,951634,1080493,1068547,938806,1016339,914363,509288,223487,55871,279359,0.237507062
US_WI,5771337,2991325,3056652,724736,759105,808554,765686,748954,818035,704885,450759,213810,53452,267263,0.246547031
US_WV,1844128,947410,978947,202753,217366,234197,243824,224404,271172,272377,174501,68612,17153,85765,0.288831903
US_WY,586107,330729,317830,83898,78523,94403,84233,71877,91709,77560,44614,17393,4348,21742,0.245543902
